Εταίρος ΕΦΔ,Κωδικός Πρότασης,Επωνυμία Επιχείρησης,ΚΑΔ Επένδυσης,Περιγραφή ΚΑΔ Επένδυσης,Περιφέρεια Υλοποίησης,ΠΕΠ,Συνολικός Προϋπολογισμός,Επιχορηγούμενος Προϋπολογισμός,Δημόσια Δαπάνη Ολοκλήρωσης
ΑΕΔΕΠ,ΕΞ-00353                      ,ΣΠΥΡΟΥ Δ. ΚΑΙ ΣΙΑ Ο.Ε.,23.70.12,"Κοπή, μορφοποίηση και τελική επεξεργασία άλλων επεξεργασμένων διακοσμητικών ή οικοδομικών λίθων και ειδών τους· άλλων τεχνητά χρωματισμένων κόκκων και σκονών από φυσικό λίθο· ειδών από συσσωματωμένο σχιστόλιθο",ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),50748.09,47450.00,21352.50
ΑΕΔΕΠ,ΕΞ-00744                      ,XAΛΑΤΣΗΣ ΕΥΑΓΓΕΛΟΣ,27.12.31,"Κατασκευή πινάκων και άλλων διατάξεων, εξοπλισμένων με ηλεκτρικούς διακόπτες ή με συσκευές προστασίας, για τάση <= 1.000 V",ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),153000.00,153000.00,68850.00
ΑΕΔΕΠ,ΕΞ-00894                      ,ΓΕΩΡΓΙΟΣ ΚΑΤΣΙΦΑΣ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ-ΕΙΣΑΓΩΓΗ-ΕΠΕΞΕΡΓΑΣΙΑ ΕΜΠΟΡΙΟ ΚΑΦΕΔΩΝ ΚΑΙ ΜΠΑΧΑΡΙΚΩΝ,10.84.2,"Παραγωγή μπαχαρικών, που διαθέτονται κατεργασμένα",ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),42188.00,42188.00,18984.60
ΑΕΔΕΠ,ΕΞ-01016                      ,ΒΙΟΜΗΧΑΝΙΑ ΠΛΑΣΤΙΚΩΝ ΛΑΡΙΠΛΑΣΤ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ & ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ,20.16,Παραγωγή πλαστικών σε πρωτογενείς μορφές,ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),70820.00,70820.00,31869.00
ΑΕΔΕΠ,ΕΞ-01180                      ,ΜΠΟΜΠΟΛΑΣ ΑΠΟΣΤΟΛΟΣ Α.Ε. ΣΥΣΤΗΜΑΤΩΝ ΦΩΤΟΒΟΛΤΑΙΚΩΝ ΠΑΡΚΩΝ,42.22.23,Κατασκευαστικές εργασίες για μονάδες παραγωγής ηλεκτρικής ενέργειας,ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),92048.42,92048.42,41421.79
ΑΕΔΕΠ,ΕΞ-01268                      ,FARMHOUSE ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ ΓΕΩΡΓΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,10.85.13,Παραγωγή έτοιμων γευμάτων και φαγητών με βάση τα λαχανικά,ΘΕΣΣΑΛΙΑ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),233781.41,233781.41,105201.63
ΑΝ.ΔΙΑ,ΕΞ-00052                      ,ΑΝΦΑΡΜ ΕΛΛΑΣ ΑΠ. ΝΙΚΟΛΑΟΥ ΒΙΟΜΗΧΑΝΙΑ ΦΑΡΜΑΚΩΝ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,21.20.1,Παραγωγή φαρμάκων,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),91165.00,82543.65,37144.64
ΑΝ.ΔΙΑ,ΕΞ-00239                      ,ΕΥΒΟΪΚΗ ΖΥΜΗ Α.Β.Ε.Ε ,10.72.19.02,Παραγωγή φύλλων κρούστας ή κανταϊφιού,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),150558.72,150558.72,75279.36
ΑΝ.ΔΙΑ,ΕΞ-00427                      ,ΑΡΗΣ Α. ΡΩΙΜΠΑΣ ΚΑΙ ΣΙΑ Ε.Ε,24.42.26,"Παραγωγή σωλήνων, αγωγών και εξαρτημάτων τους, από αργίλιο",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),114412.00,114412.00,51305.40
ΑΝ.ΔΙΑ,ΕΞ-00488                      ,Κ & Γ ΣΚΑΡΛΗ Α.Ε.,23.70.11,"Κοπή, μορφοποίηση και τελική επεξεργασία μαρμάρου, τραβερτίνη, αλάβαστρου, επεξεργασμένων και προϊόντων τους (εκτός από κυβόλιθους για λιθόστρωτα δρόμων ή πεζοδρομίων, πλάκες για στρώσιμο, πλακίδια, κύβους κλπ) τεχνητά χρωματισμένων κόκκων, χαλικιού και σ",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),86244.48,84870.79,38191.86
ΑΝ.ΔΙΑ,ΕΞ-00521                      ,MATRIX PACK ΒΙΟΜΗΧΑΝΙΑ ΥΛΙΚΩΝ ΚΑΙ ΕΙΔΩΝ ΣΥΣΚΕΥΑΣΙΑΣ Α.Ε.,22.29.2,Κατασκευή άλλων πλαστικών προϊόντων π.δ.κ.α.,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),224132.01,202885.06,91298.28
ΑΝ.ΔΙΑ,ΕΞ-00571                      ,ΚΥΡΙΑΚΟΣ Γ. ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΒΕΕ,20.30,"Παραγωγή χρωμάτων, βερνικιών και παρόμοιων επιχρισμάτων, μελανιών τυπογραφίας και μαστιχών",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),183344.63,183344.63,82505.08
ΑΝ.ΔΙΑ,ΕΞ-00612                      ,ΠΑΛΙΡΡΟΙΑ- ΣΟΥΛΙΩΤΗΣ Α.Ε. ,46.31.12.10,Χονδρικό εμπόριο λαχανικών διατηρημένων σε ξίδι ή σε οξικό οξύ,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),238014.58,238014.58,119007.29
ΑΝ.ΔΙΑ,ΕΞ-00757                      ,ΣΤΑΜΑΤΗΣ ΓΚΙΖΕΛΗΣ Α.Ε.,28.41,Κατασκευή μηχανημάτων μορφοποίησης μετάλλου,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),247431.45,238820.57,107469.26
ΑΝ.ΔΙΑ,ΕΞ-00844                      ,SEPTONA ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,13.10.61,Παραγωγή νημάτων από βαμβάκι (εκτός αυτών για ράψιμο),ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),169923.41,169923.41,76465.53
ΑΝ.ΔΙΑ,ΕΞ-00919                      ,ALUMINCO A.E. - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΑΛΟΥΜΙΝΙΟΥ ΚΑΙ ΣΥΝΑΦΩΝ ΜΕΤΑΛΛΩΝ,25.11.2,Κατασκευή δομικών μεταλλικών προϊόντων και μερών τους,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),188031.35,188031.35,84614.11
ΑΝ.ΔΙΑ,ΕΞ-00990                      ,LEONICE ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΒΕΡΝΙΚΙΩΝ ΚΑΙ ΧΡΩΜΑΤΩΝ,20.30.11,"Παραγωγή χρωμάτων και βερνικιών με βάση ακρυλικά πολυμερή ή πολυμερή του βινύλιου, σε υδατώδες μέσο",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),150191.27,150191.27,67586.07
ΑΝ.ΔΙΑ,ΕΞ-01010                      ,ΣΥΛΑΚ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ ΒΕΡΝΙΚΙΩΝ ΚΑΙ ΧΡΩΜΑΤΩΝ,20.30.12,"Παραγωγή χρωμάτων και βερνικιών με βάση πολυεστέρες, ακρυλικά πολυμερή ή πολυμερή του βινύλιου, σε μη υδατώδες μέσο· διαλυμάτων",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),59665.68,59665.68,26849.56
ΑΝ.ΔΙΑ,ΕΞ-01035                      ,ΕΛΒΙΟΜΕΞ ΕΛΛΗΝΙΚΗ ΒΙΟΜΗΧΑΝΙΑ ΜΗΧΑΝΗΜΑΤΩΝ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,28.29.50,"Κατασκευή πλυντηρίων πιάτων, επαγγελματικού τύπου",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),71077.12,69265.40,31169.43
ΑΝ.ΔΙΑ,ΕΞ-01126                      ,DASYC Ανώνυμη Τεχνική Εμπορική Ενεργειακή Αμυντική Συμβουλευτική Βιοτεχνική Βιομηχανική Εταιρεία ,22.29.9,Υπηρεσίες κατασκευής άλλων πλαστικών προϊόντων· εργασίες υπεργολαβίας στο πλαίσιο της διαδικασίας παραγωγής άλλων πλαστικών προϊόντων,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),101853.45,97561.00,43902.45
ΑΝ.ΔΙΑ,ΕΞ-01133                      ,SLIDER ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΛΙΠΑΝΤΙΚΩΝ,20.59.41,Παραγωγή λιπαντικών παρασκευασμάτων,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),124508.74,124508.74,56028.93
ΑΝ.ΔΙΑ,ΕΞ-01134                      ,ΔΟΜΟΧΗΜΙΚΗ ΑΒΕΕ,23.64,Κατασκευή κονιαμάτων,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),194910.27,194910.27,87709.62
ΑΝ.ΔΙΑ,ΕΞ-01179                      ,ΚΩΣΤΑΣ ΣΙΑΜΙΔΗΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΥΦΑΣΜΑΤΩΝ-ΕΝΔΥΜΑΤΩΝ-ΕΙΔΩΝ ΑΤΟΜΙΚΟΥ ΠΡΟΣΤΑΤΕΥΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ-ΑΝΤΙΒΑΛΛΙΣΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ,13.20,Ύφανση κλωστοϋφαντουργικών υλών,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),89596.64,89596.64,40318.49
ΑΝ.ΔΙΑ,ΕΞ-01342                      ,COSMOSOLAR ΗΛΙΑΚΟΙ ΘΕΡΜΟΣΙΦΩΝΕΣ ΕΠΕ,27.51.24.01,"Κατασκευή ηλιακών θερμοσίφωνων, ηλεκτρικών",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),214850.86,214850.86,96682.89
ΑΝ.ΔΙΑ,ΕΞ-01388                      ,ΔΙΟΝΥΣΙΟΣ ΛΑΤΤΑΣ - ΒΙΟΜΗΧΑΝΙΑ ΕΠΙΠΛΩΝ - ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ - ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,31.09,Κατασκευή άλλων επίπλων,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μικρές και Πολύ Μικρές),37624.00,37624.00,16930.80
ΑΝ.ΔΙΑ,ΕΞ-01450                      ,ΑΤΛΑΣ ΤΕΙΠΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΣΥΓΚΙΛΛΗΤΙΚΩΝ ΕΙΔΩΝ ΚΑΙ ΥΛΙΚΩΝ ΣΥΣΚΕΥΑΣΙΑΣ,22.29.21,"Κατασκευή αυτοκόλλητων πλακών, φύλλων, μεμβρανών, λεπτών φύλλων, ταινιών, λωρίδων και άλλων επίπεδων μορφών από πλαστικές ύλες, σε ρολά πλάτους <= 20cm",ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΠΕΠ Θεσσαλίας-Στερεάς Ελλάδας-Ηπείρου  - Άξονας 8 (Μεσαίες),174068.81,132192.17,59486.48
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00295                      ,ΟΛΟΚΛΗΡΩΜΕΝΕΣ ΛΥΣΕΙΣ ΠΛΗΡΟΦΟΡΙΚΗΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),70152.13,70149.68,31567.36
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00352                      ,ΜΕΣΟΓΕΙΑΚΟ ΚΕΝΤΡΟ ΔΙΑΚΟΠΩΝ ΑΙΜΟΚΑΘΑΡΣΗΣ ΑΕ,86.10.15.14,Ενδονοσοκομειακές ιατρικές υπηρεσίες ειδικότητας νεφρολογίας,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),97257.75,97257.75,43765.99
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00448                      ,ΚΡΗΤΩΝ ΑΡΤΟΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,10.72.11,"Παραγωγή τραγανού ψωμιού, παξιμαδιών, φρυγανισμένου ψωμιού και παρόμοιων φρυγανισμένων προϊόντων",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),190342.00,190342.00,85653.90
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00499                      ,VATSINAS MATTRESS ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΞΕΝΟΔΟΧΕΙΑΚΗ ΕΤΑΙΡΕΙΑ,31.03,Κατασκευή στρωμάτων,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),84716.34,84716.34,38122.35
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00565                      ,ΜΟΝΑΔΑ ΒΙΟΜΗΧΑΝΙΚΩΝ ΙΑΤΡΙΚΩΝ  ΑΕΡΙΩΝ ΚΡΗΤΗΣ- ΜΟΒΙΑΚ ΑΕ ,28.29.22.01,Κατασκευή πυροσβεστήρων,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),183494.32,183494.32,82572.44
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00655                      ,ΕΜΜΑΝΟΥΗΛ ΚΟΥΒΙΔΗΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,22.21.29,"Κατασκευή άλλων αγωγών, σωλήνων, μάνικων και εξαρτημάτων τους, από πλαστικές ύλες",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),243250.03,243250.03,109462.51
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00659                      ,NEXT STEP ΑΝΑΠΤΥΞΗ & ΟΡΓΑΝΩΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),57497.91,53497.91,24074.06
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00679                      ,ΓΕΩΡΓΙΟΣ ΖΑΧΑΡΙΟΥΔΑΚΗΣ & ΣΙΑ Ο.Ε,20.42,Παραγωγή αρωμάτων και παρασκευασμάτων καλλωπισμού,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),109844.93,109844.93,49430.22
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00935                      ,ΔΟΜΗΣΗ ΝΤΙΒΕΛΟΠΜΕΝΤ ΑΝΩΝΥΜΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,41.20.30,"Κατασκευαστικές εργασίες για οικιστικά κτίρια (νέες εργασίες, προσθήκες, μετατροπές και ανακαινίσεις)",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),39690.79,39690.79,17860.86
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-00984                      ,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ-ΜΑΡΑΖΑΚΗΣ ΕΜΜΑΝΟΥΗΛ ΟΜΟΡΡΥΘΜΟΣ ΕΤΑΙΡΕΙΑ,62.01.11.02,Υπηρεσίες ανάπτυξης και υποστήριξης λογισμικού εφαρμογών τηλεματικής,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),73680.41,73680.41,33156.18
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01056                      ,ΑΣΠΕΡΣΑ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,46.31,Χονδρικό εμπόριο φρούτων και λαχανικών,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),46312.10,46312.10,23156.05
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01205                      ,ΥΙΟΙ ΣΤΑΥΡΟΥ ΤΣΙΚΝΑΚΗ ΟΒΕΕ,10.72.1,Παραγωγή παξιμαδιών και μπισκότων· παραγωγή διατηρούμενων ειδών ζαχαροπλαστικής,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),123111.00,117207.00,58603.50
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01215                      ,ΕΥΡΙΠΙΔΗΣ ΑΝΩΝΥΜΗ ΑΓΡΟΤΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΑΕ,46.33.13.03,Χονδρικό εμπόριο ελαιόλαδου,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),177233.47,177233.47,88616.74
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01216                      ,CRETA MEL ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,10.82.23.02,"Παραγωγή χαλβάδων, κουφέτων και λουκουμιών",ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),223874.71,214984.52,96743.03
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01267                      ,Ι. ΜΠΑΛΤΖΑΚΗΣ & ΣΥΝΕΡΓΑΤΕΣ Ε.Ε.,70.22.20,Υπηρεσίες διαχείρισης έργων εκτός των κατασκευαστικών,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),34444.00,34444.00,17222.00
ΑΝΑΠΤΥΞΙΑΚΗ ΚΡΗΤΗΣ,ΕΞ-01468                      ,ΤΕΧΝΕΤΡΟΠΙΑ ΕΠΕ,62.01,Δραστηριότητες προγραμματισμού ηλεκτρονικών συστημάτων,ΚΡΗΤΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),199816.27,199816.27,89917.32
ΔΕΣΜΟΣ,ΕΞ-00025                      ,MAXI A.B.E.E.,31.03.12,"Κατασκευή στρωμάτων, εκτός από τα στηρίγματα στρωμάτων",ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),180540.00,172540.00,77643.00
ΔΕΣΜΟΣ,ΕΞ-00379                      ,ΠΡΙΣΜΑ ΗΛΕΚΤΡΟΝΙΚΑ ΑΒΕΕ,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μικρές και Πολύ Μικρές),134109.07,134109.07,60349.08
ΔΕΣΜΟΣ,ΕΞ-00408                      ,ΦΙΛΙΠΠΙΔΟΥ ΔΕΣΠΟΙΝΑ,62.01.11.02,Υπηρεσίες ανάπτυξης και υποστήριξης λογισμικού εφαρμογών τηλεματικής,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΠ Μακεδονίας - Θράκης - Άξονας 4 (Μικρές και Πολύ Μικρές),36035.56,35129.73,17564.87
ΔΕΣΜΟΣ,ΕΞ-00452                      ,ΧΑΡΤΟΠΟΙΙΑ ΚΟΜΟΤΗΝΗΣ Α.Β.Ε.Ε.,17.12.20,"Κατασκευή υλικού χαρτοποιίας για χαρτί υγείας ή χαρτί καθαρισμού προσώπου, χαρτοπετσετών κάθε είδους, χαρτοβάμβακα και επίπεδων επιφανειών από ίνες κυτταρίνης",ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),100490.00,100490.00,45220.50
ΔΕΣΜΟΣ,ΕΞ-00476                      ,ΕΛΛΗΝΙΚΗ ΒΙΟΜΗΧΑΝΙΑ ΜΑΡΜΑΡΩΝ ΤΕΧΝΙΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΙΚΤΙΝΟΣ ΕΛΛΑΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ,23.70.11,"Κοπή, μορφοποίηση και τελική επεξεργασία μαρμάρου, τραβερτίνη, αλάβαστρου, επεξεργασμένων και προϊόντων τους (εκτός από κυβόλιθους για λιθόστρωτα δρόμων ή πεζοδρομίων, πλάκες για στρώσιμο, πλακίδια, κύβους κλπ) τεχνητά χρωματισμένων κόκκων, χαλικιού και σ",ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΕΠ Ανταγωνιστικότητα και Επιχειρηματικότητα - Άξονας 2 (Μεσαίες),71677.23,62952.75,28328.74
